,max_prec,mean_prec,min_prec,month,year
0,4.924854278564453,0.8377120670765306,0.0,1,2012
1,10.115154266357422,0.8854003586064962,0.0,1,2012
2,11.539037704467773,0.8954198319027338,0.0,1,2012
3,6.139046669006348,0.8406565886726384,0.0,1,2012
4,16.261489868164062,0.9418115537357996,0.0,1,2012
5,17.40043830871582,1.1710468037221815,0.0,1,2012
6,3.8376917839050293,0.8362026588904292,0.0,2,2012
7,4.598628997802734,0.9032785685408076,0.0,2,2012
8,4.533889293670654,0.8909621434660585,0.0,2,2012
9,14.092069625854492,1.0946753204182589,0.0,2,2012
10,8.8130464553833,1.0118837809122962,0.0,2,2012
11,12.545549392700195,1.3545945398905346,0.0,2,2012
12,55.622337341308594,4.290643146591153,0.0,3,2012
13,23.95069122314453,2.015927465907535,0.0,3,2012
14,9.6202392578125,1.550643147223803,0.0,3,2012
15,25.59803581237793,2.1088350625760235,0.0,3,2012
16,77.21644592285156,5.052612780775992,0.0,3,2012
17,78.34918975830078,8.050276922597138,0.03571435064077377,3,2012
18,133.7244873046875,14.168382605670452,0.0,4,2012
19,99.06979370117188,10.813918788944422,0.0,4,2012
20,101.6615982055664,16.96867030864415,0.0,4,2012
21,111.35374450683594,18.679899590290407,0.0012237865012139082,4,2012
22,167.9857940673828,22.968271958396635,0.19481727480888367,4,2012
23,53.26819610595703,12.240210130869311,0.4769456684589386,4,2012
24,73.33816528320312,10.791303969527004,0.26987722516059875,5,2012
25,102.47834014892578,21.510873096948785,0.14973467588424683,5,2012
26,129.1702117919922,17.574557186794408,0.003833021270111203,5,2012
27,87.83290100097656,15.704232219036056,0.0,5,2012
28,92.12454223632812,16.71738549804322,0.0,5,2012
29,92.5457763671875,10.459824433713504,0.0,5,2012
30,74.2603530883789,10.536500364195737,0.0,6,2012
31,88.00569915771484,13.36669497034106,0.0,6,2012
32,131.7266845703125,9.794114460658232,0.0,6,2012
33,82.55682373046875,13.020211646947631,0.0,6,2012
34,114.51595306396484,20.61080236951867,0.0,6,2012
35,64.90547180175781,13.85054365933379,0.0,6,2012
36,122.67993927001953,23.430794476347863,0.0,7,2012
37,99.54731750488281,19.62739483157742,0.0,7,2012
38,148.0680389404297,22.208162533709572,0.0,7,2012
39,127.77604675292969,23.89779108335648,0.0,7,2012
40,129.37850952148438,30.289313493040254,0.0,7,2012
41,142.1041717529297,30.587326979431428,0.0,7,2012
42,125.87564849853516,26.59698461018099,0.0,8,2012
43,126.49952697753906,25.930086093784634,0.0,8,2012
44,103.35267639160156,24.061453792049722,0.0,8,2012
45,102.22686004638672,20.63716939412492,0.0,8,2012
46,114.40103912353516,23.350092732875396,0.015207352116703987,8,2012
47,149.16494750976562,30.315384263128358,0.029966257512569427,8,2012
48,97.75099182128906,21.805133366231868,0.0,9,2012
49,81.9443359375,16.330216232956797,0.0,9,2012
50,95.38606262207031,20.204278138445037,0.0,9,2012
51,76.95125579833984,13.7879202499164,0.0,9,2012
52,82.9325180053711,14.565694690426879,0.0,9,2012
53,87.89945220947266,17.247888330484635,0.0,9,2012
54,76.67658996582031,8.427302631308706,0.008603394962847233,10,2012
55,45.84030532836914,5.683082392059162,0.0,10,2012
56,101.90470123291016,8.893685028487583,0.0,10,2012
57,58.54339599609375,4.399206225625949,0.0,10,2012
58,83.96575164794922,11.665071770220754,0.0,10,2012
59,104.4185562133789,22.28319990220179,0.0,10,2012
60,121.38123321533203,9.35339202144403,0.18519312143325806,11,2012
61,58.771324157714844,7.5293767203868995,0.1849612295627594,11,2012
62,95.0050048828125,8.452532031729726,0.019363515079021454,11,2012
63,73.5934066772461,6.891804728993088,0.0,11,2012
64,43.40221405029297,2.209464110286743,0.0,11,2012
65,54.70915222167969,3.040851468394985,0.0,11,2012
66,16.770824432373047,1.6520530906599726,0.06079201400279999,12,2012
67,39.954471588134766,2.224555324560993,0.013815456070005894,12,2012
68,7.654775142669678,0.8926806246195799,0.0,12,2012
69,67.04011535644531,3.151918847952465,0.0,12,2012
70,44.466339111328125,2.3292206236368336,0.0,12,2012
71,25.589324951171875,1.418231948766078,0.0,12,2012
72,11.85295295715332,1.1301596347524676,0.0,1,2013
73,42.5663948059082,3.8083071048061754,0.0,1,2013
74,27.905046463012695,1.9886043990141489,0.0,1,2013
75,5.869557857513428,1.0364482756657376,0.0,1,2013
76,8.694199562072754,1.0467987047875045,0.0,1,2013
77,15.889904975891113,1.7387625389018815,0.0,1,2013
78,34.01778030395508,2.211703406624447,0.0,2,2013
79,27.41391372680664,1.8653960294189378,0.0,2,2013
80,20.99074935913086,1.2529462871517114,0.0,2,2013
81,17.397884368896484,1.2704198327971576,0.0,2,2013
82,11.59146499633789,1.1611383138035614,0.0,2,2013
83,4.78990364074707,0.6951793425779976,0.0,2,2013
84,30.87335968017578,2.224961912330595,0.0,3,2013
85,40.680423736572266,3.273641296330842,0.0,3,2013
86,69.2408218383789,5.98193702391573,0.0,3,2013
87,73.38178253173828,10.737868169492609,0.0,3,2013
88,86.37120819091797,16.50873676728266,0.0,3,2013
89,159.9970245361328,21.48505722504446,0.035317178815603256,3,2013
90,106.93821716308594,25.28363372993182,0.0,4,2013
91,143.65924072265625,19.120342686330858,0.0,4,2013
92,112.5962905883789,17.443249339613132,0.0,4,2013
93,77.633544921875,12.079145775940516,0.0014613200910389423,4,2013
94,94.86467742919922,21.422851866506132,0.21484050154685974,4,2013
95,92.2278823852539,14.729222903520466,0.2287636548280716,4,2013
96,140.76214599609375,21.88631221424178,0.6405272483825684,5,2013
